"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 07 12:58:32 IST 2023","Mon Aug 07 12:58:32 IST 2023","0","","test_2","Test_Credence_002","","","test_mul",""
"passed","Mon Aug 07 12:58:32 IST 2023","Mon Aug 07 12:58:32 IST 2023","0","","test_2","Test_Credence_002","","","test_add",""
"passed","Mon Aug 07 12:58:32 IST 2023","Mon Aug 07 12:58:32 IST 2023","0","","test_1","Test_Credence_001","","","test_sum",""
"skipped","Mon Aug 07 12:58:32 IST 2023","Mon Aug 07 12:58:32 IST 2023","0","","test_3","Test_Credence_003","","","test_CredKart_Login_008",""
